Ticker,Entry,Exit,EntryGreater,TriggeredEntry,TriggeredExit
AMMA,0.43,0.46,TRUE,FALSE,FALSE
AMRN,3.05,3.25,TRUE,FALSE,FALSE
APRI,0.42,0.44,TRUE,FALSE,FALSE
LODE,0.265,0.28,TRUE,FALSE,FALSE
NAKD,6.75,7.15,TRUE,FALSE,FALSE
VVPR,2.43,2.6,TRUE,FALSE,FALSE
UUUU,2.37,2.5,TRUE,FALSE,FALSE
ZFGN,9.78,10.15,TRUE,FALSE,FALSE
TROV,0.74,0.77,FALSE,FALSE,FALSE
IDXG,0.82,1.2,FALSE,FALSE,FALSE
UEPS,9.2,10,FALSE,FALSE,FALSE
CSLT,4.3,4.7,TRUE,FALSE,FALSE
SSW,9.55,10,TRUE,FALSE,FALSE
SESN,2.03,2.21,TRUE,FALSE,FALSE
MBT,8.8,9.5,TRUE,FALSE,FALSE
ONCS,1.45,1.6,TRUE,FALSE,FALSE
